
Jan		2163.15	125		2015.36	111		276.08	12

Fev		2098.29	135		2048.81	108		270.10	14

Mar		2122.63	137		2087.68	95		278.64	12

Abr		2144.50	129		2059.61	103		263.68	15

Mai		2141.47	129		2053.17	107		270.10	13

Jun		1992.67	152		1817.68	127		252.54	15

Jul		2007.90	154		1801.53	129		244.54	17

Ago		2031.60	155		1845.22	126		237.64	16

Set		2031.66	153		1864.27	120		246.70	16

Out		2101.75	149		1842.12	124		233.30	17

Nov		2030.69	153		1831.67	131		244.44	16

Dez		2142.23	130		2048.57	106		269.80	12

Jan		2170.19	124		2072.52	101		271.70	14

Fev		2143.10	129		2049.90	106		268.32	15

Mar		2132.17	132		2016.38	112		260.78	15

Abr		2132.38	132		2075.04	101		264.00	14

Mai		2140.22	130		2011.17	112		288.60	10

Jun		2045.00	153		1810.98	129		247.92	15

Jul		2032.88	151		1842.99	128		247.82	15

Ago		2039.22	152		1845.81	124		244.40	17

Set		2028.45	154		1834.72	126		247.80	16

Out		2036.47	154		1852.31	125		250.24	15

Nov		2039.23	155		1844.65	125		246.62	14

Dez		2153.00	127		2039.58	105		263.68	15

Jan		2174.18	122		2057.36	104		286.18	9

Fev		2147.76	130		2030.28	109		280.06	12

Mar		2135.22	131		2016.35	107		277.98	12

Abr		2123.75	132		2080.66	98		280.54	11

Mai		2152.30	127		2042.44	107		262.90	15

Jun		2019.82	156		1850.28	128		251.28	16

Jul		2027.82	149		1883.30	123		243.44	17

Ago		2004.13	154		1862.72	124		247.94	16

Set		2033.20	157		1833.28	126		239.96	15

Out		1989.06	156		1831.38	122		233.22	17

Nov		2068.17	157		1825.84	129		242.26	15

Dez		2164.41	128		2046.29	109		262.38	16

Jan		2125.94	133		2039.24	107		274.60	12

Fev		2126.97	132		2040.19	110		269.14	14

Mar		2116.62	138		2033.89	107		269.32	13

Abr		2098.62	137		2034.64	108		261.44	15

Mai		2112.17	136		2026.60	111		286.00	10

Jun		2062.73	148		1848.84	125		248.94	13

Jul		2000.77	156		1826.56	125		234.28	16

Ago		2047.07	152		1863.81	123		249.02	17

Set		2052.85	156		1869.68	125		254.60	16

Out		2058.75	154		1848.69	126		253.72	15

Nov		2057.75	156		1852.68	128		245.66	14

Dez		2158.22	128		2017.64	113		268.50	14

Jan		2156.07	125		2041.35	110		275.56	12

Fev		2141.07	129		2042.27	109		266.42	13

Mar		2108.96	136		2011.10	114		272.04	12

Abr		2133.75	131		2076.54	100		283.32	10

Mai		2164.00	122		2042.58	102		261.30	14

Jun		2042.02	149		1828.00	123		231.98	17

Jul		2035.55	151		1850.74	126		239.98	16

Ago		2030.12	156		1866.89	121		236.58	17

Set		2040.67	155		1807.05	126		250.10	16

Out		2039.70	152		1845.48	127		237.68	17

Nov		2070.14	151		1818.22	123		250.14	13

