
Jan		2746.38	13		2500.00	8		315.16	3

Fev		2743.46	14		2468.05	17		309.88	4

Mar		2743.06	12		2489.68	10		307.80	5

Abr		2744.23	12		2502.01	7		315.16	3

Mai		2744.80	9		2472.07	15		313.56	3

Jun		2648.36	124		2285.08	97		285.00	12

Jul		2648.30	126		2289.16	94		283.80	12

Ago		2646.48	128		2268.76	109		286.20	12

Set		2648.74	126		2267.56	109		289.60	10

Out		2642.40	132		2291.56	94		286.10	11

Nov		2648.33	125		2274.76	104		288.50	11

Dez		2740.53	13		2460.25	19		311.96	3

Jan		2746.56	10		2473.33	15		316.76	3

Fev		2743.07	14		2460.76	20		311.96	3

Mar		2746.76	11		2473.84	16		311.96	3

Abr		2752.39	6		2469.31	17		315.64	2

Mai		2742.87	13		2487.91	9		315.16	3

Jun		2648.42	122		2281.00	100		284.90	11

Jul		2645.45	133		2272.36	109		280.50	15

Ago		2651.47	123		2278.12	103		282.70	13

Set		2650.12	124		2282.92	98		283.90	13

Out		2650.18	122		2281.96	99		286.20	12

Nov		2651.68	116		2286.28	97		281.50	13

Dez		2742.86	11		2472.82	14		317.24	2

Jan		2748.49	6		2501.77	9		319.32	1

Fev		2745.01	12		2494.72	10		310.36	3

Mar		2740.55	17		2460.76	20		310.36	3

Abr		2743.45	12		2455.21	19		314.68	4

Mai		2745.20	11		2506.78	4		316.12	1

Jun		2652.06	118		2277.16	104		289.70	11

Jul		2651.12	120		2274.52	103		290.80	10

Ago		2647.39	127		2276.68	102		283.80	12

Set		2644.54	134		2284.84	101		289.50	9

Out		2646.45	129		2283.88	102		279.30	15

Nov		2652.94	118		2283.16	99		283.90	13

Dez		2745.02	14		2492.44	8		313.56	3

Jan		2748.11	8		2479.12	14		310.36	3

Fev		2747.91	7		2479.87	13		309.40	5

Mar		2743.07	14		2495.47	9		317.24	2

Abr		2751.04	9		2487.16	10		315.64	2

Mai		2745.19	9		2472.07	15		311.48	4

Jun		2648.33	125		2274.04	101		283.90	13

Jul		2643.66	134		2283.16	99		282.70	13

Ago		2651.06	122		2283.16	94		287.30	11

Set		2651.53	121		2275.24	101		283.80	12

Out		2643.69	133		2280.76	99		286.20	12

Nov		2648.77	125		2284.12	98		286.20	12

Dez		2739.96	16		2459.98	16		311.48	4

Jan		2750.83	6		2486.92	12		311.48	4

Fev		2746.56	10		2485.15	11		315.16	3

Mar		2750.05	6		2478.61	13		319.32	1

Abr		2750.64	7		2481.13	13		308.92	6

Mai		2743.45	12		2476.60	14		318.84	2

Jun		2648.80	124		2287.00	100		286.10	11

Jul		2651.53	121		2282.68	102		288.40	10

Ago		2648.74	126		2275.96	99		286.20	12

Set		2648.80	124		2275.96	104		283.90	13

Out		2651.53	121		2281.96	99		286.20	12

Nov		2646.92	128		2277.64	101		289.60	10

Dez		2741.50	12		2465.29	19		315.64	2

Jan		2745.02	14		2485.66	12		314.04	2

Fev		2742.87	13		2484.16	14		307.80	5

Mar		2744.42	11		2485.66	12		311.96	3

Abr		2745.01	12		2497.48	8		311.96	3

Mai		2747.92	9		2493.70	8		309.88	4

Jun		2644.19	131		2275.72	103		283.90	13

Jul		2646.04	128		2285.56	99		289.70	11

Ago		2649.30	122		2283.16	99		282.80	14

Set		2652.53	117		2263.96	114		281.60	14

Out		2651.06	122		2281.48	102		288.40	10

Nov		2650.12	124		2289.40	95		287.20	10

Dez		2744.61	10		2477.86	14		311.00	5

Jan		2743.28	17		2489.95	13		308.28	4

Fev		2739.16	12		2466.28	16		312.44	2

Mar		2736.46	18		2502.25	5		310.52	6

Abr		2744.81	11		2492.95	9		314.04	2

Mai		2748.89	8		2469.55	15		311.96	3

Jun		2648.27	127		2273.08	107		287.30	11

Jul		2649.21	125		2285.56	99		289.60	10

Ago		2648.83	123		2281.72	103		286.30	13

Set		2646.57	125		2270.92	108		287.30	11

Out		2648.33	125		2269.96	109		279.40	16

Nov		2645.95	131		2272.36	109		283.90	13

Dez		2749.08	7		2466.79	17		312.60	5

Jan		2750.65	9		2490.19	11		314.68	4

Fev		2744.23	12		2475.34	14		313.56	3

Mar		2743.63	9		2506.03	5		317.24	2

Abr		2744.04	13		2472.82	14		317.72	1

Mai		2738.60	17		2487.16	10		311.96	3

Jun		2647.48	124		2287.96	94		286.30	13

Jul		2643.72	132		2275.96	104		285.00	12

Ago		2650.62	122		2280.52	98		286.20	12

Set		2647.89	125		2286.04	96		290.80	10

Out		2649.24	124		2288.44	96		283.90	13

Nov		2646.98	126		2277.88	102		280.40	14

Dez		2743.45	12		2490.70	12		312.60	5

Jan		2738.78	14		2457.73	19		314.52	1

Fev		2744.99	8		2480.62	12		314.52	1

Mar		2738.97	13		2483.14	12		316.76	3

Abr		2742.67	12		2489.68	10		317.24	2

Mai		2745.00	10		2485.66	12		311.96	3

Jun		2648.98	118		2266.60	110		286.20	12

Jul		2650.15	123		2284.60	100		284.00	14

Ago		2651.03	123		2287.96	94		280.50	15

Set		2646.98	126		2276.44	106		289.60	10

Out		2648.74	126		2277.16	104		286.20	12

Nov		2648.92	120		2294.20	90		286.20	12

Dez		2747.93	11		2448.43	23		313.56	3

Jan		2746.95	10		2467.30	18		320.92	1

Fev		2749.28	8		2495.47	9		313.08	4

Mar		2739.96	16		2473.33	15		308.92	6

Abr		2750.25	7		2492.20	10		311.96	3

Mai		2747.33	8		2466.79	17		314.68	4

Jun		2650.68	120		2277.88	102		283.80	12

Jul		2649.65	125		2285.08	97		281.60	14

Ago		2651.00	124		2283.88	102		286.20	12

Set		2651.88	124		2281.72	98		281.60	14

Out		2644.66	130		2281.48	97		285.00	12

Nov		2644.51	135		2282.44	101		282.70	13

Dez		2743.84	12		2504.53	7		314.52	1
