
Jan		200.97	19	483.71	30	597.90	63	323.44	32	35.84	14	472.49	47	680.93	61	51.00	0	174.88	12

Fev		200.97	19	419.09	32	579.38	65	346.54	29	107.52	10	491.32	45	664.11	63	51.00	0	167.24	13

Mar		192.15	20	364.77	33	597.90	63	308.04	34	179.20	6	481.91	46	680.93	61	51.00	0	197.80	9

Abr		218.61	17	397.78	33	597.90	63	315.74	33	125.44	9	453.66	49	680.93	61	51.00	0	197.80	9

Mai		306.24	9	530.30	22	921.87	48	482.76	12	160.00	8	728.60	24	916.96	41	20.82	3	211.80	6

Jun		299.27	10	517.33	25	940.01	46	379.71	21	140.00	9	711.40	26	963.20	37	20.82	3	199.29	7

Jul		327.15	6	472.53	27	930.94	47	402.61	19	200.00	6	745.80	22	974.76	36	20.82	3	199.29	7

Ago		313.21	8	524.94	24	921.87	48	448.41	15	140.00	9	720.00	25	882.28	44	20.82	3	186.78	8

Set		292.30	11	494.50	28	885.59	52	425.51	17	140.00	9	720.00	25	882.28	44	20.82	3	199.29	7

Out		183.33	21	419.09	32	634.94	59	315.74	33	107.52	10	463.08	48	664.11	63	51.00	3	182.52	11

Nov		192.15	20	376.48	34	570.12	66	323.44	32	143.36	8	463.08	48	697.75	59	51.00	3	182.52	11

Dez		218.61	17	386.07	32	588.64	64	323.44	32	161.28	7	472.49	47	689.34	60	51.00	3	174.88	12

Jan		192.15	20	451.40	31	588.64	64	315.74	33	71.68	12	453.66	49	689.34	60	51.00	3	159.60	14

Fev		192.15	20	386.78	33	616.42	61	338.84	30	143.36	8	453.66	49	706.16	58	51.00	3	174.88	12

Mar		218.61	17	376.48	34	588.64	64	323.44	32	143.36	8	444.25	50	697.75	59	51.00	3	174.88	12

Abr		192.15	20	355.17	35	607.16	62	323.44	32	161.28	7	491.32	45	672.52	62	51.00	3	197.80	9

Mai		306.24	9	519.58	26	930.94	47	425.51	17	120.00	10	720.00	25	1055.68	29	20.82	3	186.78	8

Jun		299.27	10	522.69	23	921.87	48	459.86	14	160.00	8	668.40	31	928.52	40	20.82	3	161.76	10

Jul		278.36	13	517.33	25	912.80	49	391.16	20	140.00	9	694.20	28	893.84	43	20.82	3	174.27	9

Ago		299.27	10	512.83	23	930.94	47	414.06	18	180.00	7	668.40	31	974.76	36	20.82	3	236.82	4

Set		271.39	14	524.94	24	921.87	48	436.96	16	140.00	9	737.20	23	1021.00	32	20.82	3	211.80	6

Out		192.15	20	408.79	33	625.68	60	323.44	32	107.52	10	481.91	46	680.93	61	51.00	3	167.24	13

Nov		218.61	17	430.09	32	616.42	61	331.14	31	89.60	11	453.66	49	689.34	60	51.00	3	182.52	11

Dez		209.79	18	344.17	35	625.68	60	315.74	33	179.20	6	500.74	44	680.93	61	51.00	3	174.88	12

Jan		183.33	21	398.49	34	616.42	61	315.74	33	107.52	10	444.25	50	697.75	59	51.00	3	174.88	12

Fev		218.61	17	375.77	33	597.90	63	308.04	34	161.28	7	444.25	50	697.75	59	51.00	3	182.52	11

Mar		227.43	16	418.38	31	597.90	63	338.84	30	125.44	9	472.49	47	697.75	59	51.00	3	182.52	11

Abr		209.79	18	387.48	34	625.68	60	338.84	30	125.44	9	472.49	47	689.34	60	51.00	3	182.52	11

Mai		320.18	7	499.86	26	921.87	48	459.86	14	160.00	8	754.40	21	997.88	34	20.82	3	211.80	6

Jun		271.39	14	512.83	23	976.29	42	459.86	14	180.00	7	668.40	31	974.76	36	20.82	3	186.78	8

Jul		285.33	12	517.33	25	958.15	44	425.51	17	140.00	9	694.20	28	1009.44	33	20.82	3	224.31	5

Ago		278.36	13	527.19	25	967.22	43	448.41	15	120.00	10	737.20	23	905.40	42	20.82	3	174.27	9

Set		299.27	10	482.39	27	967.22	43	402.61	19	180.00	7	711.40	26	928.52	40	20.82	3	211.80	6

Out		200.97	19	388.19	35	588.64	64	346.54	29	107.52	10	472.49	47	680.93	61	51.00	3	182.52	11

Nov		209.79	18	398.49	34	634.94	59	315.74	33	107.52	10	481.91	46	689.34	60	51.00	3	190.16	10

Dez		192.15	20	376.48	34	588.64	64	315.74	33	143.36	8	453.66	49	655.70	64	51.00	3	182.52	11

Jan		227.43	16	419.79	33	616.42	61	308.04	34	89.60	11	444.25	50	655.70	64	51.00	3	197.80	9

Fev		183.33	21	409.49	34	625.68	60	315.74	33	89.60	11	472.49	47	672.52	62	51.00	3	182.52	11

Mar		209.79	18	408.79	33	616.42	61	346.54	29	107.52	10	463.08	48	697.75	59	51.00	3	197.80	9

Abr		209.79	18	375.77	33	634.94	59	315.74	33	161.28	7	453.66	49	664.11	63	51.00	3	190.16	10

Mai		278.36	13	511.97	27	912.80	49	391.16	20	120.00	10	694.20	28	940.08	39	20.82	3	174.27	9

Jun		292.30	11	507.47	25	912.80	49	448.41	15	160.00	8	745.80	22	905.40	42	20.82	3	186.78	8

Jul		278.36	13	522.69	23	867.45	54	368.26	22	160.00	8	737.20	23	951.64	38	20.82	3	186.78	8

Ago		306.24	9	510.58	22	912.80	49	345.36	24	200.00	6	737.20	23	963.20	37	20.82	3	224.31	5

Set		299.27	10	515.08	24	976.29	42	459.86	14	160.00	8	677.00	30	882.28	44	20.82	3	174.27	9

