
Jan		1933.50	116		2008.06	95		318.90	0

Fev		1874.70	127		2005.99	95		315.32	1

Mar		1868.10	129		1943.56	105		316.36	2

Abr		1879.20	128		1990.09	99		317.36	0

Mai		1881.90	127		1987.93	101		310.74	4

Jun		1830.00	137		2027.95	89		312.78	3

Jul		1920.90	118		1982.53	96		311.24	3

Ago		1900.80	120		1987.27	97		312.78	3

Set		1923.30	120		1949.08	105		312.28	4

Out		1879.80	126		1996.45	94		314.82	2

Nov		1850.10	131		1941.31	109		316.86	1

Dez		1900.20	122		1948.84	108		316.86	1

Jan		1925.40	120		1980.64	99		318.40	1

Fev		1885.20	125		2022.31	91		319.94	1

Mar		1884.90	128		2007.58	95		320.44	0

Abr		1838.10	134		2021.80	89		311.74	2

Mai		1906.50	123		2006.83	97		316.36	2

Jun		1929.60	119		1988.80	97		313.28	2

Jul		1953.00	115		1977.01	98		318.40	1

Ago		1918.50	121		1995.16	98		314.32	3

Set		1959.30	114		2002.81	94		318.90	0

Out		1894.80	123		1985.05	98		318.40	1

Nov		1929.30	117		2021.20	88		310.74	4

Dez		1888.80	124		1983.91	102		316.36	2

Jan		1888.80	125		2014.18	94		308.16	3

Fev		1849.20	131		1948.57	102		308.70	5

Mar		1842.00	132		1948.78	103		318.40	1

Abr		1856.40	131		1983.58	98		316.36	2

Mai		1881.60	126		2004.37	92		314.82	2

Jun		1901.40	124		1977.67	100		314.82	2

Jul		1908.00	122		1994.32	96		315.86	3

Ago		1884.90	124		2008.21	93		310.74	4

Set		1917.60	123		2009.68	92		314.82	2

Out		1860.60	127		1975.84	100		310.24	5

Nov		1915.20	121		2040.04	88		318.90	0

Dez		1922.70	121		2005.90	93		319.94	1

Jan		1971.60	110		1978.90	99		315.32	1

Fev		1900.50	123		1948.84	103		311.74	2

Mar		1927.50	117		1971.01	99		314.82	2

Abr		1935.60	119		2004.76	95		314.32	3

Mai		1875.60	128		2027.29	92		316.86	1

Jun		1865.40	130		2014.18	93		316.86	1

Jul		1944.00	115		2003.08	95		311.24	3

Ago		1931.70	119		1963.99	102		312.78	3

Set		1885.50	124		2010.64	95		310.20	2

Out		1843.80	134		2000.44	95		311.24	3

Nov		1904.10	122		2017.96	92		316.86	1

Dez		1853.70	129		1977.94	100		313.28	2

Jan		1886.10	124		1962.19	105		321.98	0

Fev		1899.00	121		2016.49	89		320.44	0

Mar		1892.70	125		2000.44	96		314.82	2

Abr		1877.40	128		1979.68	99		312.78	3

Mai		1848.60	130		1980.28	96		312.28	4

Jun		1886.70	128		1982.68	98		314.82	2

Jul		1905.60	121		2021.59	94		314.32	3

Ago		1882.80	126		1981.12	97		313.28	2

Set		1827.90	134		1956.07	97		314.82	2

Out		1879.20	127		1960.39	101		316.36	2

Nov		1923.30	120		2004.04	96		310.24	5

Dez		1892.10	122		1929.82	105		315.82	0

Jan		1843.20	130		1969.93	103		315.86	3

Fev		1884.90	126		2021.80	91		312.28	4

Mar		1884.30	126		1983.55	97		313.28	2

Abr		1914.00	121		1998.55	94		316.86	1

Mai		1890.90	126		1961.11	102		312.78	3

Jun		1915.50	121		2005.66	94		315.32	1

